btc;strategy;x;y;value
2020;dca;0;0;0,259
2019;dca;0;1;0,421
2018;dca;0;2;0,376
2017;dca;0;3;1,285
2016;dca;0;4;4,869
2015;dca;0;5;9,894
2020;dva (no withdraw);1;0;0,188
2019;dva (no withdraw);1;1;0,384
2018;dva (no withdraw);1;2;0,73
2017;dva (no withdraw);1;3;0,672
2016;dva (no withdraw);1;4;3,292
2015;dva (no withdraw);1;5;8,239
2020;dva (crypto ptf + cash);2;0;0,095
2019;dva (crypto ptf + cash);2;1;0,368
2018;dva (crypto ptf + cash);2;2;0,681
2017;dva (crypto ptf + cash);2;3;0,161
2016;dva (crypto ptf + cash);2;4;2,786
2015;dva (crypto ptf + cash);2;5;6,005
2020;lump-sum;3;0;0,318
2019;lump-sum;3;1;0,676
2018;lump-sum;3;2;0,174
2017;lump-sum;3;3;2,491
2016;lump-sum;3;4;6,019
2015;lump-sum;3;5;9,085
2020;lump-sum2;4;0;0,281
2019;lump-sum2;4;1;0,676
2018;lump-sum2;4;2;0,398
2017;lump-sum2;4;3;0,999
2016;lump-sum2;4;4;3,877
2015;lump-sum2;4;5;9,767
