S,ir=5%,ir=1%,ir=10%
50,0.000026756,0.000017061,0.000046158
51,0.000042101,0.000027171,0.000071547
52,0.000064911,0.000042390,0.000108702
53,0.000098162,0.000064849,0.000162040
54,0.000145743,0.000097375,0.000237221
55,0.000212635,0.000143648,0.000341365
56,0.000305107,0.000208362,0.000483258
57,0.000430904,0.000297408,0.000673554
58,0.000599437,0.000418050,0.000924950
59,0.000821950,0.000579097,0.001252325
60,0.001111658,0.000791061,0.001672830
61,0.001483854,0.001066294,0.002205921
62,0.001955964,0.001419088,0.002873317
63,0.002547541,0.001865737,0.003698888
64,0.003280198,0.002424546,0.004708456
65,0.004177472,0.003115780,0.005929518
66,0.005264615,0.003961562,0.007390886
67,0.006568306,0.004985688,0.009122251
68,0.008116306,0.006213392,0.011153694
69,0.009937040,0.007671041,0.013515125
70,0.012059131,0.009385769,0.016235710
71,0.014510893,0.011385063,0.019343253
72,0.017319790,0.013696307,0.022863597
73,0.020511890,0.016346295,0.026820032
74,0.024111315,0.019360723,0.031232735
75,0.028139710,0.022763687,0.036118267
76,0.032615750,0.026577178,0.041489134
77,0.037554691,0.030820612,0.047353427
78,0.042967978,0.035510388,0.053714546
79,0.048862933,0.040659505,0.060571026
80,0.055242509,0.046277229,0.067916453
81,0.062105138,0.052368832,0.075739485
82,0.069444660,0.058935401,0.084023965
83,0.077250344,0.065973730,0.092749126
84,0.085506985,0.073476284,0.101889877
85,0.094195090,0.081431248,0.111417164
86,0.103291132,0.089822643,0.121298392
87,0.112767872,0.098630519,0.131497897
88,0.122594733,0.107831213,0.141977457
89,0.132738224,0.117397657,0.152696820
90,0.143162396,0.127299737,0.163614258
91,0.153829320,0.137504698,0.174687106
92,0.164699583,0.147977562,0.185872297
93,0.175732777,0.158681581,0.197126878
94,0.186887991,0.169578691,0.208408494
95,0.198124282,0.180629965,0.219675831
96,0.209401118,0.191796066,0.230889025
97,0.220678795,0.203037675,0.242010018
98,0.231918823,0.214315903,0.253002871
99,0.243084260,0.225592673,0.263834015
100,0.254140013,0.236831065,0.274472465
101,0.265053093,0.247995636,0.284889970
102,0.275792820,0.259052686,0.295061128
103,0.286330989,0.269970498,0.304963444
104,0.296641988,0.280719525,0.314577350
105,0.306702877,0.291272547,0.323886187
106,0.316493428,0.301604781,0.332876148
107,0.325996125,0.311693956,0.341536199
108,0.335196135,0.321520352,0.349857961
109,0.344081247,0.331066806,0.357835582
110,0.352641789,0.340318687,0.365465587
111,0.360870520,0.349263844,0.372746709
112,0.368762502,0.357892536,0.379679720
113,0.376314964,0.366197327,0.386267251
114,0.383527148,0.374172982,0.392513606
115,0.390400153,0.381816338,0.398424582
116,0.396936770,0.389126165,0.404007287
117,0.403141316,0.396103023,0.409269966
118,0.409019469,0.402749113,0.414221828
119,0.414578108,0.409068122,0.418872888
120,0.419825147,0.415065070,0.423233812
121,0.424769392,0.420746164,0.427315775
122,0.429420385,0.426118641,0.431130329
123,0.433788273,0.431190632,0.434689279
124,0.437883677,0.435971021,0.438004577
125,0.441717570,0.440469316,0.441088221
126,0.445301170,0.444695524,0.443952165
127,0.448645838,0.448660038,0.446608241
128,0.451762983,0.452373531,0.449068095
129,0.454663990,0.455846858,0.451343122
130,0.457360140,0.459090966,0.453444426
131,0.459862549,0.462116817,0.455382768
132,0.462182115,0.464935315,0.457168544
133,0.464329472,0.467557243,0.458811752
134,0.466314950,0.469993209,0.460321975
135,0.468148542,0.472253599,0.461708368
136,0.469839884,0.474348533,0.462979648
137,0.471398229,0.476287839,0.464144092
138,0.472832436,0.478081018,0.465209538
139,0.474150964,0.479737227,0.466183386
140,0.475361862,0.481265260,0.467072607
141,0.476472771,0.482673539,0.467883752
142,0.477490923,0.483970105,0.468622965
143,0.478423152,0.485162613,0.469295992
144,0.479275894,0.486258335,0.469908198
145,0.480055201,0.487264159,0.470464585
146,0.480766754,0.488186596,0.470969802
147,0.481415868,0.489031787,0.471428169
148,0.482007513,0.489805510,0.471843687
149,0.482546324,0.490513193,0.472220059
150,0.483036619,0.491159925,0.472560707
