S,T=0.5,T=0.1,T=1
50,0.000026756,0.000000000,0.003321868
51,0.000042101,0.000000000,0.004202000
52,0.000064911,0.000000000,0.005261675
53,0.000098162,0.000000000,0.006525413
54,0.000145743,0.000000000,0.008018909
55,0.000212635,0.000000000,0.009768782
56,0.000305107,0.000000000,0.011802274
57,0.000430904,0.000000000,0.014146938
58,0.000599437,0.000000000,0.016830298
59,0.000821950,0.000000000,0.019879494
60,0.001111658,0.000000000,0.023320932
61,0.001483854,0.000000000,0.027179923
62,0.001955964,0.000000000,0.031480347
63,0.002547541,0.000000000,0.036244317
64,0.003280198,0.000000001,0.041491882
65,0.004177472,0.000000003,0.047240743
66,0.005264615,0.000000008,0.053506015
67,0.006568306,0.000000023,0.060300015
68,0.008116306,0.000000060,0.067632098
69,0.009937040,0.000000150,0.075508526
70,0.012059131,0.000000358,0.083932383
71,0.014510893,0.000000818,0.092903535
72,0.017319790,0.000001793,0.102418622
73,0.020511890,0.000003774,0.112471096
74,0.024111315,0.000007647,0.123051297
75,0.028139710,0.000014931,0.134146555
76,0.032615750,0.000028132,0.145741333
77,0.037554691,0.000051223,0.157817391
78,0.042967978,0.000090250,0.170353976
79,0.048862933,0.000154068,0.183328030
80,0.055242509,0.000255146,0.196714417
81,0.062105138,0.000410378,0.210486159
82,0.069444660,0.000641796,0.224614681
83,0.077250344,0.000977021,0.239070064
84,0.085506985,0.001449326,0.253821291
85,0.094195090,0.002097156,0.268836502
86,0.103291132,0.002963002,0.284083236
87,0.112767872,0.004091580,0.299528665
88,0.122594733,0.005527372,0.315139830
89,0.132738224,0.007311647,0.330883850
90,0.143162396,0.009479207,0.346728128
91,0.153829320,0.012055140,0.362640543
92,0.164699583,0.015051919,0.378589620
93,0.175732777,0.018467171,0.394544692
94,0.186887991,0.022282380,0.410476039
95,0.198124282,0.026462709,0.426355018
96,0.209401118,0.030958000,0.442154168
97,0.220678795,0.035704892,0.457847304
98,0.231918823,0.040629876,0.473409598
99,0.243084260,0.045653013,0.488817638
100,0.254140013,0.050691991,0.504049475
101,0.265053093,0.055666170,0.519084660
102,0.275792820,0.060500299,0.533904265
103,0.286330989,0.065127649,0.548490888
104,0.296641988,0.069492363,0.562828656
105,0.306702877,0.073550943,0.576903210
106,0.316493428,0.077272854,0.590701686
107,0.325996125,0.080640329,0.604212681
108,0.335196135,0.083647484,0.617426224
109,0.344081247,0.086298924,0.630333726
110,0.352641789,0.088607997,0.642927936
111,0.360870520,0.090594889,0.655202887
112,0.368762502,0.092284695,0.667153840
113,0.376314964,0.093705604,0.678777224
114,0.383527148,0.094887279,0.690070575
115,0.390400153,0.095859500,0.701032473
116,0.396936770,0.096651077,0.711662477
117,0.403141316,0.097289056,0.721961063
118,0.409019469,0.097798182,0.731929555
119,0.414578108,0.098200587,0.741570067
120,0.419825147,0.098515676,0.750885435
121,0.424769392,0.098760157,0.759879159
122,0.429420385,0.098948177,0.768555340
123,0.433788273,0.099091530,0.776918623
124,0.437883677,0.099199913,0.784974141
125,0.441717570,0.099281188,0.792727461
126,0.445301170,0.099341650,0.800184533
127,0.448645838,0.099386282,0.807351637
128,0.451762983,0.099418979,0.814235341
129,0.454663990,0.099442757,0.820842454
130,0.457360140,0.099459925,0.827179986
131,0.459862549,0.099472235,0.833255108
132,0.462182115,0.099481000,0.839075115
133,0.464329472,0.099487201,0.844647395
134,0.466314950,0.099491559,0.849979392
135,0.468148542,0.099494603,0.855078583
136,0.469839884,0.099496715,0.859952451
137,0.471398229,0.099498173,0.864608454
138,0.472832436,0.099499173,0.869054012
139,0.474150964,0.099499855,0.873296479
140,0.475361862,0.099500317,0.877343132
141,0.476472771,0.099500629,0.881201149
142,0.477490923,0.099500839,0.884877599
143,0.478423152,0.099500978,0.888379425
144,0.479275894,0.099501071,0.891713440
145,0.480055201,0.099501133,0.894886308
146,0.480766754,0.099501173,0.897904546
147,0.481415868,0.099501199,0.900774509
148,0.482007513,0.099501217,0.903502389
149,0.482546324,0.099501228,0.906094209
150,0.483036619,0.099501235,0.908555822
