S,vol=25%,vol=10%,vol=50%
50,0.013349051,0.013360410,0.008646570
51,0.013342971,0.013360410,0.008070346
52,0.013334176,0.013360410,0.007454734
53,0.013321706,0.013360410,0.006800271
54,0.013304353,0.013360410,0.006107767
55,0.013280635,0.013360410,0.005378297
56,0.013248766,0.013360410,0.004613189
57,0.013206642,0.013360410,0.003814008
58,0.013151823,0.013360410,0.002982538
59,0.013081547,0.013360410,0.002120766
60,0.012992734,0.013360410,0.001230859
61,0.012882028,0.013360410,0.000315143
62,0.012745839,0.013360410,-0.000623920
63,0.012580410,0.013360410,-0.001583751
64,0.012381893,0.013360410,-0.002561679
65,0.012146445,0.013360409,-0.003554962
66,0.011870331,0.013360408,-0.004560809
67,0.011550029,0.013360404,-0.005576402
68,0.011182351,0.013360394,-0.006598913
69,0.010764551,0.013360364,-0.007625523
70,0.010294437,0.013360288,-0.008653445
71,0.009770465,0.013360100,-0.009679934
72,0.009191829,0.013359663,-0.010702305
73,0.008558526,0.013358695,-0.011717946
74,0.007871410,0.013356658,-0.012724333
75,0.007132212,0.013352574,-0.013719035
76,0.006343552,0.013344756,-0.014699730
77,0.005508917,0.013330454,-0.015664210
78,0.004632620,0.013305400,-0.016610387
79,0.003719738,0.013263324,-0.017536302
80,0.002776032,0.013195493,-0.018440124
81,0.001807849,0.013090392,-0.019320158
82,0.000822010,0.012933695,-0.020174845
83,-0.000174310,0.012708659,-0.021002764
84,-0.001173708,0.012397055,-0.021802630
85,-0.002168683,0.011980665,-0.022573295
86,-0.003151764,0.011443275,-0.023313746
87,-0.004115635,0.010772966,-0.024023104
88,-0.005053249,0.009964406,-0.024700619
89,-0.005957938,0.009020779,-0.025345666
90,-0.006823507,0.007954984,-0.025957746
91,-0.007644311,0.006789818,-0.026536475
92,-0.008415330,0.005557005,-0.027081583
93,-0.009132215,0.004295103,-0.027592911
94,-0.009791322,0.003046517,-0.028070400
95,-0.010389741,0.001853988,-0.028514091
96,-0.010925294,0.000757018,-0.028924116
97,-0.011396535,-0.000211314,-0.029300695
98,-0.011802725,-0.001026757,-0.029644128
99,-0.012143806,-0.001675274,-0.029954792
100,-0.012420359,-0.002153311,-0.030233133
101,-0.012633559,-0.002467043,-0.030479659
102,-0.012785121,-0.002630778,-0.030694941
103,-0.012877238,-0.002664835,-0.030879601
104,-0.012912528,-0.002593178,-0.031034310
105,-0.012893964,-0.002441128,-0.031159781
106,-0.012824816,-0.002233351,-0.031256767
107,-0.012708588,-0.001992300,-0.031326054
108,-0.012548956,-0.001737157,-0.031368458
109,-0.012349717,-0.001483286,-0.031384817
110,-0.012114728,-0.001242114,-0.031375994
111,-0.011847863,-0.001021368,-0.031342865
112,-0.011552967,-0.000825535,-0.031286321
113,-0.011233813,-0.000656455,-0.031207263
114,-0.010894070,-0.000513957,-0.031106597
115,-0.010537274,-0.000396458,-0.030985233
116,-0.010166799,-0.000301498,-0.030844082
117,-0.009785840,-0.000226168,-0.030684052
118,-0.009397395,-0.000167439,-0.030506046
119,-0.009004255,-0.000122396,-0.030310962
120,-0.008608995,-0.000088380,-0.030099687
121,-0.008213970,-0.000063066,-0.029873099
122,-0.007821315,-0.000044490,-0.029632061
123,-0.007432944,-0.000031038,-0.029377424
124,-0.007050559,-0.000021422,-0.029110023
125,-0.006675650,-0.000014632,-0.028830676
126,-0.006309509,-0.000009893,-0.028540182
127,-0.005953236,-0.000006624,-0.028239323
128,-0.005607750,-0.000004393,-0.027928861
129,-0.005273802,-0.000002887,-0.027609537
130,-0.004951984,-0.000001880,-0.027282071
131,-0.004642744,-0.000001213,-0.026947163
132,-0.004346398,-0.000000777,-0.026605488
133,-0.004063140,-0.000000493,-0.026257703
134,-0.003793055,-0.000000310,-0.025904439
135,-0.003536134,-0.000000194,-0.025546308
136,-0.003292281,-0.000000120,-0.025183896
137,-0.003061324,-0.000000074,-0.024817769
138,-0.002843029,-0.000000045,-0.024448471
139,-0.002637106,-0.000000027,-0.024076521
140,-0.002443219,-0.000000017,-0.023702419
141,-0.002260994,-0.000000010,-0.023326642
142,-0.002090028,-0.000000006,-0.022949646
143,-0.001929892,-0.000000003,-0.022571864
144,-0.001780143,-0.000000002,-0.022193710
145,-0.001640325,-0.000000001,-0.021815578
146,-0.001509974,-0.000000001,-0.021437841
147,-0.001388625,0.000000000,-0.021060853
148,-0.001275814,0.000000000,-0.020684949
149,-0.001171082,0.000000000,-0.020310445
150,-0.001073978,0.000000000,-0.019937639
