profit;strategy;x;y;value
2020;dca;0;0;2737
2019;dca;0;1;-738
2018;dca;0;2;-1643
2017;dca;0;3;26657
2016;dca;0;4;23005
2015;dca;0;5;100
2020;dva1;1;0;2144
2019;dva1;1;1;-673
2018;dva1;1;2;-2322
2017;dva1;1;3;14496
2016;dva1;1;4;16109
2015;dva1;1;5;411
2020;dva2;2;0;2017
2019;dva2;2;1;-574
2018;dva2;2;2;-2092
2017;dva2;2;3;6937
2016;dva2;2;4;6961
2015;dva2;2;5;487
2020;lumpsum1;3;0;4321
2019;lumpsum1;3;1;-204
2018;lumpsum1;3;2;-2287
2017;lumpsum1;3;3;53789
2016;lumpsum1;3;4;69180
2015;lumpsum1;3;5;50
2020;lumpsum2;4;0;3708
2019;lumpsum2;4;1;-1257
2018;lumpsum2;4;2;-1732
2017;lumpsum2;4;3;17358
2016;lumpsum2;4;4;18065
2015;lumpsum2;4;5;-213
