expenses;strategy;x;y;value
2015;dca;0;5;-2600
2015;dva1;1;5;-2592
2015;dva2;2;5;-4287
2015;lumpsum1;3;5;-2600
2015;lumpsum2;4;5;-2600
2016;dca;0;4;-2600
2016;dva1;1;4;-838
2016;dva2;2;4;-4337
2016;lumpsum1;3;4;-2600
2016;lumpsum2;4;4;-2600
2017;dca;0;3;-2600
2017;dva1;1;3;-600
2017;dva2;2;3;-3471
2017;lumpsum1;3;3;-2600
2017;lumpsum2;4;3;-2600
2018;dca;0;2;-2600
2018;dva1;1;2;-5026
2018;dva2;2;2;-6735
2018;lumpsum1;3;2;-2600
2018;lumpsum2;4;2;-2600
2019;dca;0;1;-2650
2019;dva1;1;1;-3323
2019;dva2;2;1;-4605
2019;lumpsum1;3;1;-2600
2019;lumpsum2;4;1;-2600
2020;dca;0;0;-2600
2020;dva1;1;0;-1215
2020;dva2;2;0;-2787
2020;lumpsum1;3;0;-2600
2020;lumpsum2;4;0;-2600
