xmr;strategy;x;y;value
2015;dca;0;5;5739,821
2015;dva1;1;5;6382,503
2015;dva2;2;5;5699,754
2015;lumpsum1;3;5;5632,473
2015;lumpsum2;4;5;5074,398
2016;dca;0;4;1857,623
2016;dva1;1;4;1229,494
2016;dva2;2;4;204,916
2016;lumpsum1;3;4;5207,582
2016;lumpsum2;4;4;1499,19
2017;dca;0;3;83,825
2017;dva1;1;3;43,251
2017;dva2;2;3;6,814
2017;lumpsum1;3;3;161,562
2017;lumpsum2;4;3;57,181
2018;dca;0;2;20,703
2018;dva1;1;2;58,498
2018;dva2;2;2;51,391
2018;lumpsum1;3;2;6,781
2018;lumpsum2;4;2;18,778
2019;dca;0;1;42,903
2019;dva1;1;1;59,46
2019;dva2;2;1;59,46
2019;lumpsum1;3;1;53,755
2019;lumpsum2;4;1;30,14
2020;dca;0;0;34,086
2020;dva1;1;0;21,454
2020;dva2;2;0;16,11
2020;lumpsum1;3;0;44,204
2020;lumpsum2;4;0;40,291
